Ameria (now Amelia)	Ameria, -ae (f.); of or belonging to Ameria, Amerian, Amerinus, -a, -um
America	America, -ae (f.); for long quantity of penult, v. Humboldt, Hist, de la Geog., vol. iv., p. 52, sq.; American, Americanus, -a, -um; the United States of America, Civitates Foederatae Americanae; North America, America Septentrionalis; South America, America Meridiana
Amestratus	Amestratus, -i (f.); of or belonging to Amestratus, Amestratian, Amestratinus, -a, -um
Amiens	Samarobriva, -ae (f.)
Amilcar	v. Hamilcar
Aminaean	Aminaeus, -a, -um
Amisus	Amisus, -i (f.); of or belonging to Amisus, Amisian, Amisenus, -a, -um
Amiternum	Amiternum, -i (n.); of or belonging to Amiternum, Amiternian, Amiterninus, -a, -um, and poet., Amiternus, -a, -um
Amitinum	Amitinum, -i (n.); Amitinian, Amitinensis, -e
Ammianus	Ammianus, -i (m.)
Ammon	Ammon, -onis (m.); of or belonging to Ammon, Ammonian, Ammoniacus, -a, -um
Ammonites	Ammonitae, -arum (m.)
Amoebeus	Amoebeus, -ei (m.); acc. poet. -ea
Amorgus	Amorgos or -gus, -i (f.)
Amos	Amosus, -i, and Amos, indeclinable (m.)
Ampelius	Ampelius, -ii (m.)
Amphiaraus	Amphiaraus, -i (m.); of or belonging to Amphiaraus, Amphiaraeus, -a, -um; son or descendant of Amphiaraus, Amphiaraides, -ae (m.)
Amphicrates	Amphicrates, -is (m.)
Amphictyon	Amphictyon, -onis (m.); the Amphictyons, Amphictyones, -um, acc. -as (Amphictyonic council)
Amphidamas	Amphidamas, -antis (m.)
Amphilochi	Amphilochi, -orum (m.); the country of the Amphilochi, Amphilochia, -ae (f.); Amphilochian, Amphilochicus, -a, -um, or -lochius, -a, -um
Amphilochus	Amphilochus, -i (m.)
Amphimedon	Amphimedon, -ontis (m.)
Amphinomus	Amphinomus, -i (m.)
Amphion	Amphion, onis (m.); of or belonging to Amphion, Amphionius, -a, -um
Amphipolis	Amphipolis, -is (f.); of or belonging to Amphipolis, Amphipolitan, Amphipolitanus, -a, -um; an inhabitant of Amphipolis, Amphipolites, -ae (m.)
Amphissa	Amphissa, -ae (f.); of or belonging to Amphissa, Amphissius, -a, -um
Amphithemis	Amphithemis, -idis (m.)
Amphitrite	Amphitrite, -es (f.)
Amphitryo	Amphitruo or Amphitryon, -onis (m.); son or descendant of Amphitryo, Araphitryoniades, -ae (m.); feminine adj., of or descended from Amphitryo, Amphitryonis, -idis
Amphrysus	Amphrysus, -i (m.); of or belonging to Amphrysus, Amphrysian, Amphrysius. -a, -um, and Amphrysiacus, -a, -um
Ampsaga	Ampsaga, -ae (m.)
Ampsanctus	Ampsanctus, -i (m.)
Ampycus	Ampycus, -i (m.); son or descendant of Ampycus, Ampycides, -ae (m.)
Ampyx	Ampyx, -ycis (m.)
Amsanctus	v. Ampsanctus
Amsterdam	Amstelaedamum and -lodamum, -i (n.)
Amulius	Amulius, -ii (m.)
Amy	Amicia, -ae, and Amata, -ae (f.)
Amyclae	Amyclae, -arum (f.); of or belonging to Amyclae, Amyclaean, Amyclaeus, -a, -um, and Amyclanus, -a, -um
Amyclas	Amyclas, -as (m.); son or descendant of Amyclas, Amyclides, -es (m.)
Amycus	Amycus, -i (m.)
Amydon	Amydon, -onis (f.)
Amymone	Amymone, -es (f.); of or belonging to Amymone, Amymonius, -a, -um
Amynander	Amynander, -dri (m.)
Amyntas	Amyntas, -ae (m.); son or descendant of Amyntas, Amyntiades, -ae (m.)
Amyntor	Amyntor, -oris (m.); son or descendant of Amyntor, Amyntoridea, -ae (m.)
Amythaon	Amythaon, -onis (m.); of or descended from Amythaon, Amythaonius, -a, -um
Amyzon	Amyzon, -onis (f.)
Anacharsis	Anacharsis, -is (m.)
Anacreon	Anacreon, -ontis (m.); of or belonging to Anacreon, Anacreontic, Anacreonteus, -a, -um, or -tius, -a, -um, and Anacreonticus, -a, -um
Anactorium	Anactorium, -ii (n.); of or belonging to Anactorium, Anactorian, Anactorius, -a, -um
Anagnia	Anagnia, -ae (f.); of or belonging to Anagnia, Anagnian, Anagninus, -a, -um
Anaitis	Anaitis, -idis (f.); of or belonging to Aneitis, Anaiticus, -a, -um
Ananias	Ananias, -ae (m.)
Anaphe	Anaphe, -es (f.)
Anapo	Anapis, -is, or Anapus, -i (m)
Anas	Anas, -ae (m.)
Anastasius	Anastasius, -ii (m.); of or belonging to Anastasius, Anastasianns, -a, -um
Anaurus	Anaurus, -i (m.)
Anaxagoras	Anaxagoras, -ae (m.)j of or belonging to Anaxagoras, Anaxagorean, Anasagoreus, -a, -um
Anaxander	Anaxander, -dri (m.)
Anaxarchus	Anaxarchus, -i (m.)
Anararete	Anasarete, -es (f.)
Anaxilaus	Anaxilaus, -i (m.)
Anaximander	Anaximander, -dri (m.)
Anaximenes	Anaximenes, -is (m.)
Anaxipolis	Anaxipolis, -is (m.)
Ancaeus	Ancaeus, -i (m.)
Ancalites	Ancalites, -um (m.)
Ancharius	Ancharius, -ii (m.); Ancharian, of or belonging to Ancharius, Ancharianus, -a, -um
Anchemolus	Anchemolus, -i (m.)
Anchiale	Anchiale, -es (f.) : of or belonging to Anchiale, Anchialitanus, -a, -um (late)
Anchialus	Anchialus, -i (f.), a city; (m.) man’s name
Anchises	Anchises, -ae (m.); of or belonging to Anchises, Anchisaeus or -seus, -a, -um; son or descendant of Anchises, Anchisiades, -ae (m.)
Ancona	Ancon, -onis, and Ancona, -ae (f.) : of or belonging to Ancona, Anconitanus, -a, -um
Ancus	Ancus, -i (m.)
Ancyra	Ancyra, -ae (f.); of or belonging to Ancyra, Ancyranus. -a, -um
Andalusia	Baetica, -ae (f.), or Vandalitia, -ae (f.)
Andanis	Andanis, -is (m.)
Andatis	Andatis, -is (f.)
Andantonium	Andantonium, -ii (n.); of or belonging to Andantonium, Andantoniensis, -e
Andegavi	Andegavi, -orum (m.)
Andera	Andera, -orum (n.)
Anderitum	Anderitum, -i (n.)
Andernack	Antunnacum, -i (n.)
Andes	Andes, -ium (m.); 1. a people of Gaul, and, 2. city of Italy; of or belonging to Andes (2), Andinus, -a, -um
Andocides	Andocides, -is (m.)
Andaemon	Andraemon, -onis (m.)
Andrew	Andreas, -ae (m.)
Andriaca	Andriaca, -ae, and -iace, -es (f.)
Andrian	v. Andros
Andricus	Andricus, -i (m.)
Andriscus	Andriscus, -i (m.)
Andro	v. Andron
Androbulus	Androbulus, -i (m.)
Androcles	Androcles, -is (m.)
Androcydes	Androcydes, -is (m.)
Andrigeus	Androgeus, -i and -on, gen. -onis, acc. -ona (m.) : of or belonging to Androgeus, Androgeoneus, -a, -um
Andromache	Andromache, -es, and -cha, -ae (f.)
Andromeda	Andromeda, -ae, and -mede, -es (f.)
Andromenes	Andromenes, -is (m.)
Andron	Andron, -onis (m.); of or belonging to Andron, Andronius, -a, -um
Andronicus	Andronicus, -i (m.)
Andros	Andros and Andrus, -i (f.); of or belonging to Andros, Andrian, Andrius, -a, -um
Androsthenes	Androsthenes, -is (m.)
Androtion	Androtion, -onis (m.)
Andorra	Andura, -ae (f.); of or belonging to Andorra, Andurensis, -e
Anemo, Amone	Anemo, -onis (m.)
Anemurium	Anemurium, -ii (n.); of or belonging to Anemurium, Anemuriensis, -e
Angerona	Angerona, -ae (f.); festival in honor of Angerona, Angeronalia, -ium and -orum (m.)
Angers	Andegava, -ae (f.)
Angitia	Angitia, -ae (f.)
Anglesey	Mona, -ae (f.)
Angli	v. England
Angora	Ancyra, -ae (f.)
Angrivarii	Angrivarii, -orum (m.)
